class_id,teacher_id,subject,room_id,day,slot,confidence
G9-B02,T045,science,B-LAB-02,Mon,2,0.5
G9-B02,T050,arabic,B-CR-004,Sun,1,0.5
G9-B02,T050,arabic,B-CR-004,Mon,1,0.5
G9-B02,T050,arabic,B-CR-004,Tue,1,0.5
G9-B02,T050,arabic,B-CR-003,Wed,1,0.5
G9-B02,T056,islamic,B-CR-004,Sun,5,0.5
G9-B02,T056,islamic,B-CR-004,Mon,5,0.5
G9-B02,T056,islamic,B-CR-003,Tue,5,0.5
G9-B02,T056,islamic,B-CR-002,Wed,5,0.5
G9-B02,T076,english,B-CR-004,Sun,2,0.5
G9-B02,T076,english,B-CR-005,Mon,2,0.5
G9-B02,T076,english,B-CR-003,Tue,2,0.5
G9-B02,T076,english,B-CR-003,Wed,2,0.5
G9-B02,T076,english,B-CR-003,Thu,2,0.5
G9-B02,T076,english,B-CR-002,Mon,7,0.5
G9-B02,T076,english,B-CR-002,Tue,7,0.5
G9-B02,T076,english,B-CR-001,Wed,7,0.5
G9-B02,T076,english,B-CR-002,Thu,7,0.5
G9-B02,T061,history,B-CR-005,Sun,5,0.5
G9-B02,T061,history,B-CR-005,Mon,5,0.5
G9-B02,T087,geography,B-CR-006,Mon,5,0.5
G9-B02,T087,geography,B-CR-004,Tue,5,0.5
G9-B02,T005,library,B-LIB-01,Mon,1,0.5
G9-B02,T009,french,B-CR-005,Sun,6,0.5
G9-B02,T023,computer,B-CR-002,Sun,4,0.5
G9-B02,T051,social,B-CR-006,Sun,5,0.5
G9-B02,T031,chinese,B-CR-002,Mon,6,0.5
G9-B02,T013,pe,B-PG-02,Sun,3,0.5
G9-B02,T027,art,B-CR-006,Sun,6,0.5
G9-B02,T035,music,B-CR-007,Sun,6,0.5
G9-B03,T071,math,B-CR-005,Sun,1,0.5
G9-B03,T071,math,B-CR-005,Mon,1,0.5
G9-B03,T071,math,B-CR-005,Tue,1,0.5
G9-B03,T071,math,B-CR-004,Wed,1,0.5
G9-B03,T071,math,B-CR-003,Thu,1,0.5
G9-B03,T071,math,B-CR-006,Mon,2,0.5
G9-B03,T071,math,B-CR-004,Tue,2,0.5
G9-B03,T071,math,B-CR-004,Wed,2,0.5
G9-B03,T071,math,B-CR-004,Thu,2,0.5
G9-B03,T059,science,B-LAB-03,Mon,1,0.5
G9-B03,T059,science,B-LAB-02,Tue,1,0.5
G9-B03,T059,science,B-LAB-03,Thu,1,0.5
G9-B03,T059,science,B-LAB-03,Sun,2,0.5
G9-B03,T059,science,B-LAB-03,Mon,2,0.5
G9-B03,T059,science,B-LAB-02,Tue,2,0.5
G9-B03,T059,science,B-LAB-01,Wed,2,0.5
G9-B03,T075,arabic,B-CR-006,Sun,1,0.5
G9-B03,T075,arabic,B-CR-006,Tue,1,0.5
G9-B03,T075,arabic,B-CR-005,Wed,1,0.5
G9-B03,T075,arabic,B-CR-004,Thu,1,0.5
G9-B03,T084,islamic,B-CR-007,Sun,5,0.5
G9-B03,T084,islamic,B-CR-007,Mon,5,0.5
G9-B03,T084,islamic,B-CR-003,Wed,5,0.5
G9-B03,T084,islamic,B-CR-001,Thu,5,0.5
G9-B03,T081,english,B-CR-005,Sun,2,0.5
G9-B03,T081,english,B-CR-007,Mon,2,0.5
G9-B03,T081,english,B-CR-005,Tue,2,0.5
G9-B03,T081,english,B-CR-005,Thu,2,0.5
G9-B03,T081,english,B-CR-003,Mon,7,0.5
G9-B03,T081,english,B-CR-003,Tue,7,0.5
G9-B03,T081,english,B-CR-002,Wed,7,0.5
G9-B03,T081,english,B-CR-003,Thu,7,0.5
G9-B03,T096,english,B-CR-008,Mon,2,0.5
G9-B03,T093,history,B-CR-008,Sun,5,0.5
G9-B03,T093,history,B-CR-008,Mon,5,0.5
G9-B03,T104,geography,B-CR-009,Sun,5,0.5
G9-B03,T104,geography,B-CR-009,Mon,5,0.5
G9-B03,T001,library,B-LIB-01,Tue,1,0.5
G9-B03,T011,french,B-CR-003,Mon,6,0.5
G9-B03,T025,computer,B-CR-003,Sun,4,0.5
G9-B03,T064,social,B-CR-010,Sun,5,0.5
G9-B03,T031,chinese,B-CR-001,Tue,6,0.5
G9-B03,T015,pe,B-PG-03,Sun,3,0.5
G9-B03,T029,art,B-CR-008,Sun,6,0.5
G9-B03,T037,music,B-CR-009,Sun,6,0.5
G9-B04,T080,math,B-CR-007,Sun,1,0.5
G9-B04,T080,math,B-CR-006,Mon,1,0.5
G9-B04,T080,math,B-CR-007,Tue,1,0.5
G9-B04,T080,math,B-CR-006,Wed,1,0.5
G9-B04,T080,math,B-CR-006,Sun,2,0.5
G9-B04,T080,math,B-CR-009,Mon,2,0.5
G9-B04,T080,math,B-CR-005,Wed,2,0.5
G9-B04,T080,math,B-CR-006,Thu,2,0.5
G9-B04,T080,math,B-CR-001,Sun,3,0.5
G9-B04,T066,science,B-LAB-03,Sun,1,0.5
G9-B04,T066,science,B-LAB-04,Mon,1,0.5
G9-B04,T066,science,B-LAB-03,Tue,1,0.5
G9-B04,T066,science,B-LAB-03,Wed,1,0.5
G9-B04,T066,science,B-LAB-04,Thu,1,0.5
G9-B04,T066,science,B-LAB-04,Sun,2,0.5
G9-B04,T066,science,B-LAB-04,Mon,2,0.5
G9-B04,T085,arabic,B-CR-008,Sun,1,0.5
G9-B04,T085,arabic,B-CR-007,Mon,1,0.5
G9-B04,T085,arabic,B-CR-008,Tue,1,0.5
G9-B04,T085,arabic,B-CR-007,Wed,1,0.5
G9-B04,T088,islamic,B-CR-011,Sun,5,0.5
G9-B04,T088,islamic,B-CR-005,Tue,5,0.5
G9-B04,T088,islamic,B-CR-004,Wed,5,0.5
G9-B04,T088,islamic,B-CR-002,Thu,5,0.5
G9-B04,T099,english,B-CR-007,Sun,2,0.5
G9-B04,T099,english,B-CR-010,Mon,2,0.5
G9-B04,T099,english,B-CR-006,Tue,2,0.5
G9-B04,T099,english,B-CR-006,Wed,2,0.5
G9-B04,T099,english,B-CR-007,Thu,2,0.5
G9-B04,T099,english,B-CR-002,Sun,7,0.5
G9-B04,T099,english,B-CR-004,Mon,7,0.5
G9-B04,T099,english,B-CR-004,Tue,7,0.5
G9-B04,T099,english,B-CR-003,Wed,7,0.5
G9-B04,T113,history,B-CR-012,Sun,5,0.5
G9-B04,T113,history,B-CR-010,Mon,5,0.5
G9-B04,T115,geography,B-CR-013,Sun,5,0.5
G9-B04,T115,geography,B-CR-011,Mon,5,0.5
G9-B04,T003,library,B-LIB-01,Sun,5,0.5
G9-B04,T007,french,B-CR-001,Wed,6,0.5
G9-B04,T021,computer,B-CR-001,Mon,4,0.5
G9-B04,T082,social,B-CR-014,Sun,5,0.5
G9-B04,T031,chinese,B-CR-002,Wed,6,0.5
G9-B04,T017,pe,B-PG-04,Sun,3,0.5
G9-B04,T019,art,B-CR-004,Mon,6,0.5
G9-B04,T033,music,B-CR-005,Mon,6,0.5
G9-B05,T101,math,B-CR-009,Sun,1,0.5
G9-B05,T101,math,B-CR-008,Mon,1,0.5
G9-B05,T101,math,B-CR-008,Wed,1,0.5
G9-B05,T101,math,B-CR-005,Thu,1,0.5
G9-B05,T101,math,B-CR-008,Sun,2,0.5
G9-B05,T101,math,B-CR-011,Mon,2,0.5
G9-B05,T101,math,B-CR-007,Wed,2,0.5
G9-B05,T101,math,B-CR-002,Sun,3,0.5
G9-B05,T101,math,B-CR-001,Mon,3,0.5
G9-B05,T077,science,B-LAB-04,Sun,1,0.5
G9-B05,T077,science,B-LAB-04,Tue,1,0.5
G9-B05,T077,science,B-LAB-04,Wed,1,0.5
G9-B05,T077,science,B-LAB-03,Tue,2,0.5
G9-B05,T077,science,B-LAB-02,Wed,2,0.5
G9-B05,T077,science,B-LAB-01,Thu,2,0.5
G9-B05,T077,science,B-LAB-01,Sun,3,0.5
G9-B05,T129,arabic,B-CR-010,Sun,1,0.5
G9-B05,T129,arabic,B-CR-009,Mon,1,0.5
G9-B05,T129,arabic,B-CR-009,Tue,1,0.5
G9-B05,T129,arabic,B-CR-009,Wed,1,0.5
G9-B05,T126,islamic,B-CR-012,Mon,5,0.5
G9-B05,T126,islamic,B-CR-006,Tue,5,0.5
G9-B05,T126,islamic,B-CR-005,Wed,5,0.5
G9-B05,T126,islamic,B-CR-003,Thu,5,0.5
G9-B05,T102,english,B-CR-009,Sun,2,0.5
G9-B05,T102,english,B-CR-012,Mon,2,0.5
G9-B05,T102,english,B-CR-007,Tue,2,0.5
G9-B05,T102,english,B-CR-008,Wed,2,0.5
G9-B05,T102,english,B-CR-008,Thu,2,0.5
G9-B05,T102,english,B-CR-003,Sun,7,0.5
G9-B05,T102,english,B-CR-005,Mon,7,0.5
G9-B05,T102,english,B-CR-005,Tue,7,0.5
G9-B05,T102,english,B-CR-004,Wed,7,0.5
G9-B05,T120,history,B-CR-015,Sun,5,0.5
G9-B05,T120,history,B-CR-013,Mon,5,0.5
G9-B05,T124,geography,B-CR-016,Sun,5,0.5
G9-B05,T124,geography,B-CR-007,Tue,5,0.5
G9-B05,T005,library,B-LIB-01,Wed,1,0.5
G9-B05,T009,french,B-CR-006,Mon,6,0.5
G9-B05,T023,computer,B-CR-001,Tue,4,0.5
G9-B05,T083,social,B-CR-017,Sun,5,0.5
G9-B05,T031,chinese,B-CR-001,Thu,6,0.5
G9-B05,T013,pe,B-PG-01,Mon,3,0.5
G9-B05,T027,art,B-CR-007,Mon,6,0.5
G9-B05,T035,music,B-CR-008,Mon,6,0.5
G9-B06,T103,math,B-CR-011,Sun,1,0.5
G9-B06,T103,math,B-CR-010,Mon,1,0.5
G9-B06,T103,math,B-CR-010,Tue,1,0.5
G9-B06,T103,math,B-CR-010,Wed,1,0.5
G9-B06,T103,math,B-CR-006,Thu,1,0.5
G9-B06,T103,math,B-CR-010,Sun,2,0.5
G9-B06,T103,math,B-CR-013,Mon,2,0.5
G9-B06,T103,math,B-CR-008,Tue,2,0.5
G9-B06,T103,math,B-CR-009,Wed,2,0.5
G9-B06,T106,science,B-LAB-04,Tue,2,0.5
G9-B06,T106,science,B-LAB-03,Wed,2,0.5
G9-B06,T106,science,B-LAB-02,Sun,3,0.5
G9-B06,T106,science,B-LAB-01,Mon,3,0.5
G9-B06,T106,science,B-LAB-01,Tue,3,0.5
G9-B06,T106,science,B-LAB-01,Wed,3,0.5
G9-B06,T106,science,B-LAB-01,Thu,3,0.5
G9-B06,T146,arabic,B-CR-012,Sun,1,0.5
G9-B06,T146,arabic,B-CR-011,Mon,1,0.5
G9-B06,T146,arabic,B-CR-011,Tue,1,0.5
G9-B06,T146,arabic,B-CR-011,Wed,1,0.5
G9-B06,T158,islamic,B-CR-018,Sun,5,0.5
G9-B06,T158,islamic,B-CR-008,Tue,5,0.5
G9-B06,T158,islamic,B-CR-006,Wed,5,0.5
G9-B06,T158,islamic,B-CR-004,Thu,5,0.5
G9-B06,T110,english,B-CR-011,Sun,2,0.5
G9-B06,T110,english,B-CR-014,Mon,2,0.5
G9-B06,T110,english,B-CR-009,Tue,2,0.5
G9-B06,T110,english,B-CR-010,Wed,2,0.5
G9-B06,T110,english,B-CR-009,Thu,2,0.5
G9-B06,T110,english,B-CR-004,Sun,7,0.5
G9-B06,T110,english,B-CR-006,Mon,7,0.5
G9-B06,T110,english,B-CR-006,Tue,7,0.5
G9-B06,T110,english,B-CR-005,Wed,7,0.5
G9-B06,T139,history,B-CR-019,Sun,5,0.5
G9-B06,T139,history,B-CR-014,Mon,5,0.5
G9-B06,T156,geography,B-CR-020,Sun,5,0.5
G9-B06,T156,geography,B-CR-015,Mon,5,0.5
G9-B06,T001,library,B-LIB-01,Thu,1,0.5
G9-B06,T011,french,B-CR-002,Tue,6,0.5
G9-B06,T025,computer,B-CR-002,Tue,4,0.5
G9-B06,T095,social,B-CR-021,Sun,5,0.5
G9-B06,T031,chinese,B-CR-022,Sun,5,0.5
G9-B06,T015,pe,B-PG-02,Mon,3,0.5
G9-B06,T029,art,B-CR-009,Mon,6,0.5
G9-B06,T037,music,B-CR-010,Mon,6,0.5
G9-G01,T049,math,B-CR-013,Sun,1,0.5
G9-G01,T049,math,B-CR-012,Mon,1,0.5
G9-G01,T049,math,B-CR-012,Tue,1,0.5
G9-G01,T049,math,B-CR-012,Wed,1,0.5
G9-G01,T049,math,B-CR-007,Thu,1,0.5
G9-G01,T049,math,B-CR-012,Sun,2,0.5
G9-G01,T049,math,B-CR-015,Mon,2,0.5
G9-G01,T049,math,B-CR-010,Tue,2,0.5
G9-G01,T049,math,B-CR-011,Wed,2,0.5
G9-G01,T072,science,B-LAB-04,Wed,2,0.5
G9-G01,T072,science,B-LAB-02,Thu,2,0.5
G9-G01,T072,science,B-LAB-02,Mon,3,0.5
G9-G01,T072,science,B-LAB-02,Tue,3,0.5
G9-G01,T072,science,B-LAB-02,Wed,3,0.5
G9-G01,T072,science,B-LAB-02,Thu,3,0.5
G9-G01,T072,science,B-LAB-01,Sun,6,0.5
G9-G01,T040,arabic,B-CR-014,Sun,1,0.5
G9-G01,T040,arabic,B-CR-013,Mon,1,0.5
G9-G01,T040,arabic,B-CR-013,Tue,1,0.5
G9-G01,T040,arabic,B-CR-008,Thu,1,0.5
G9-G01,T047,islamic,B-CR-009,Tue,5,0.5
G9-G01,T047,islamic,B-CR-007,Wed,5,0.5
G9-G01,T047,islamic,B-CR-005,Thu,5,0.5
G9-G01,T047,islamic,B-CR-010,Sun,6,0.5
G9-G01,T044,english,B-CR-013,Sun,2,0.5
G9-G01,T044,english,B-CR-016,Mon,2,0.5
G9-G01,T044,english,B-CR-011,Tue,2,0.5
G9-G01,T044,english,B-CR-012,Wed,2,0.5
G9-G01,T044,english,B-CR-010,Thu,2,0.5
G9-G01,T044,english,B-CR-005,Sun,7,0.5
G9-G01,T044,english,B-CR-007,Mon,7,0.5
G9-G01,T044,english,B-CR-007,Tue,7,0.5
G9-G01,T044,english,B-CR-006,Wed,7,0.5
G9-G01,T052,history,B-CR-016,Mon,5,0.5
G9-G01,T052,history,B-CR-010,Tue,5,0.5
G9-G01,T060,geography,B-CR-023,Sun,5,0.5
G9-G01,T060,geography,B-CR-017,Mon,5,0.5
G9-G01,T002,library,B-LIB-01,Tue,5,0.5
G9-G01,T008,french,B-CR-011,Sun,6,0.5
G9-G01,T024,computer,B-CR-004,Sun,4,0.5
G9-G01,T048,social,B-CR-024,Sun,5,0.5
G9-G01,T032,chinese,B-CR-012,Sun,6,0.5
G9-G01,T004,pe,B-PG-03,Mon,3,0.5
G9-G01,T020,art,B-CR-013,Sun,6,0.5
G9-G01,T034,music,B-CR-014,Sun,6,0.5
G9-G02,T094,math,B-CR-015,Sun,1,0.5
G9-G02,T094,math,B-CR-014,Mon,1,0.5
G9-G02,T094,math,B-CR-014,Tue,1,0.5
G9-G02,T094,math,B-CR-013,Wed,1,0.5
G9-G02,T094,math,B-CR-009,Thu,1,0.5
G9-G02,T094,math,B-CR-014,Sun,2,0.5
G9-G02,T094,math,B-CR-017,Mon,2,0.5
G9-G02,T094,math,B-CR-012,Tue,2,0.5
G9-G02,T094,math,B-CR-013,Wed,2,0.5
G9-G02,T074,science,B-LAB-03,Thu,2,0.5
G9-G02,T074,science,B-LAB-03,Sun,3,0.5
G9-G02,T074,science,B-LAB-03,Mon,3,0.5
G9-G02,T074,science,B-LAB-03,Wed,3,0.5
G9-G02,T074,science,B-LAB-01,Mon,6,0.5
G9-G02,T074,science,B-LAB-01,Tue,6,0.5
G9-G02,T074,science,B-LAB-01,Mon,8,0.5
G9-G02,T063,arabic,B-CR-016,Sun,1,0.5
G9-G02,T063,arabic,B-CR-015,Mon,1,0.5
G9-G02,T063,arabic,B-CR-015,Tue,1,0.5
G9-G02,T063,arabic,B-CR-014,Wed,1,0.5
G9-G02,T053,islamic,B-CR-025,Sun,5,0.5
G9-G02,T053,islamic,B-CR-018,Mon,5,0.5
G9-G02,T053,islamic,B-CR-008,Wed,5,0.5
G9-G02,T053,islamic,B-CR-006,Thu,5,0.5
G9-G02,T062,english,B-CR-015,Sun,2,0.5
G9-G02,T062,english,B-CR-018,Mon,2,0.5
G9-G02,T062,english,B-CR-013,Tue,2,0.5
G9-G02,T062,english,B-CR-014,Wed,2,0.5
G9-G02,T062,english,B-CR-011,Thu,2,0.5
G9-G02,T062,english,B-CR-006,Sun,7,0.5
G9-G02,T062,english,B-CR-008,Mon,7,0.5
G9-G02,T062,english,B-CR-008,Tue,7,0.5
G9-G02,T062,english,B-CR-007,Wed,7,0.5
G9-G02,T070,history,B-CR-026,Sun,5,0.5
G9-G02,T070,history,B-CR-019,Mon,5,0.5
G9-G02,T079,geography,B-CR-027,Sun,5,0.5
G9-G02,T079,geography,B-CR-011,Tue,5,0.5
G9-G02,T006,library,B-LIB-01,Mon,5,0.5
G9-G02,T010,french,B-CR-015,Sun,6,0.5
G9-G02,T026,computer,B-CR-005,Sun,4,0.5
G9-G02,T090,social,B-CR-028,Sun,5,0.5
G9-G02,T032,chinese,B-CR-011,Mon,6,0.5
G9-G02,T014,pe,B-PG-04,Mon,3,0.5
G9-G02,T022,art,B-CR-016,Sun,6,0.5
G9-G02,T036,music,B-CR-017,Sun,6,0.5
G9-G03,T107,math,B-CR-017,Sun,1,0.5
G9-G03,T107,math,B-CR-016,Mon,1,0.5
G9-G03,T107,math,B-CR-015,Wed,1,0.5
G9-G03,T107,math,B-CR-010,Thu,1,0.5
G9-G03,T107,math,B-CR-016,Sun,2,0.5
G9-G03,T107,math,B-CR-014,Tue,2,0.5
G9-G03,T107,math,B-CR-015,Wed,2,0.5
G9-G03,T107,math,B-CR-012,Thu,2,0.5
G9-G03,T107,math,B-CR-003,Sun,3,0.5
G9-G03,T089,science,B-LAB-04,Thu,2,0.5
G9-G03,T089,science,B-LAB-04,Sun,3,0.5
G9-G03,T089,science,B-LAB-04,Mon,3,0.5
G9-G03,T089,science,B-LAB-03,Tue,3,0.5
G9-G03,T089,science,B-LAB-04,Wed,3,0.5
G9-G03,T089,science,B-LAB-03,Thu,3,0.5
G9-G03,T089,science,B-LAB-02,Sun,6,0.5
G9-G03,T065,arabic,B-CR-018,Sun,1,0.5
G9-G03,T065,arabic,B-CR-017,Mon,1,0.5
G9-G03,T065,arabic,B-CR-016,Wed,1,0.5
G9-G03,T065,arabic,B-CR-011,Thu,1,0.5
G9-G03,T069,islamic,B-CR-029,Sun,5,0.5
G9-G03,T069,islamic,B-CR-020,Mon,5,0.5
G9-G03,T069,islamic,B-CR-012,Tue,5,0.5
G9-G03,T069,islamic,B-CR-009,Wed,5,0.5
G9-G03,T068,english,B-CR-017,Sun,2,0.5
G9-G03,T068,english,B-CR-019,Mon,2,0.5
G9-G03,T068,english,B-CR-015,Tue,2,0.5
G9-G03,T068,english,B-CR-016,Wed,2,0.5
G9-G03,T068,english,B-CR-013,Thu,2,0.5
G9-G03,T068,english,B-CR-007,Sun,7,0.5
G9-G03,T068,english,B-CR-009,Tue,7,0.5
G9-G03,T068,english,B-CR-008,Wed,7,0.5
G9-G03,T068,english,B-CR-004,Thu,7,0.5
G9-G03,T097,history,B-CR-030,Sun,5,0.5
G9-G03,T097,history,B-CR-021,Mon,5,0.5
G9-G03,T100,geography,B-CR-031,Sun,5,0.5
G9-G03,T100,geography,B-CR-022,Mon,5,0.5
G9-G03,T016,library,B-LIB-01,Wed,5,0.5
G9-G03,T012,french,B-CR-003,Tue,6,0.5
G9-G03,T028,computer,B-CR-002,Mon,4,0.5
G9-G03,T092,social,B-CR-032,Sun,5,0.5
G9-G03,T032,chinese,B-CR-004,Tue,6,0.5
G9-G03,T018,pe,B-PG-01,Tue,3,0.5
G9-G03,T030,art,B-CR-018,Sun,6,0.5
G9-G03,T038,music,B-CR-019,Sun,6,0.5
G9-G04,T134,math,B-CR-019,Sun,1,0.5
G9-G04,T134,math,B-CR-018,Mon,1,0.5
G9-G04,T134,math,B-CR-016,Tue,1,0.5
G9-G04,T134,math,B-CR-012,Thu,1,0.5
G9-G04,T134,math,B-CR-018,Sun,2,0.5
G9-G04,T134,math,B-CR-020,Mon,2,0.5
G9-G04,T134,math,B-CR-016,Tue,2,0.5
G9-G04,T134,math,B-CR-017,Wed,2,0.5
G9-G04,T134,math,B-CR-014,Thu,2,0.5
G9-G04,T127,science,B-LAB-04,Tue,3,0.5
G9-G04,T127,science,B-LAB-03,Sun,6,0.5
G9-G04,T127,science,B-LAB-02,Mon,6,0.5
G9-G04,T127,science,B-LAB-01,Wed,6,0.5
G9-G04,T127,science,B-LAB-01,Thu,6,0.5
G9-G04,T127,science,B-LAB-01,Sun,8,0.5
G9-G04,T127,science,B-LAB-02,Mon,8,0.5
G9-G04,T078,arabic,B-CR-020,Sun,1,0.5
G9-G04,T078,arabic,B-CR-019,Mon,1,0.5
G9-G04,T078,arabic,B-CR-017,Wed,1,0.5
G9-G04,T078,arabic,B-CR-013,Thu,1,0.5
G9-G04,T086,islamic,B-CR-033,Sun,5,0.5
G9-G04,T086,islamic,B-CR-023,Mon,5,0.5
G9-G04,T086,islamic,B-CR-013,Tue,5,0.5
G9-G04,T086,islamic,B-CR-007,Thu,5,0.5
G9-G04,T073,english,B-CR-021,Mon,2,0.5
G9-G04,T073,english,B-CR-017,Tue,2,0.5
G9-G04,T073,english,B-CR-018,Wed,2,0.5
G9-G04,T073,english,B-CR-008,Sun,7,0.5
G9-G04,T073,english,B-CR-009,Mon,7,0.5
G9-G04,T073,english,B-CR-010,Tue,7,0.5
G9-G04,T073,english,B-CR-009,Wed,7,0.5
G9-G04,T073,english,B-CR-005,Thu,7,0.5
G9-G04,T145,english,B-CR-018,Tue,2,0.5
G9-G04,T105,history,B-CR-034,Sun,5,0.5
G9-G04,T105,history,B-CR-024,Mon,5,0.5
G9-G04,T109,geography,B-CR-035,Sun,5,0.5
G9-G04,T109,geography,B-CR-025,Mon,5,0.5
G9-G04,T002,library,B-LIB-01,Thu,5,0.5
G9-G04,T008,french,B-CR-012,Mon,6,0.5
G9-G04,T024,computer,B-CR-003,Mon,4,0.5
G9-G04,T108,social,B-CR-036,Sun,5,0.5
G9-G04,T032,chinese,B-CR-003,Wed,6,0.5
G9-G04,T004,pe,B-PG-02,Tue,3,0.5
G9-G04,T020,art,B-CR-013,Mon,6,0.5
G9-G04,T034,music,B-CR-005,Tue,6,0.5
G9-G05,T140,math,B-CR-021,Sun,1,0.5
G9-G05,T140,math,B-CR-020,Mon,1,0.5
G9-G05,T140,math,B-CR-017,Tue,1,0.5
G9-G05,T140,math,B-CR-018,Wed,1,0.5
G9-G05,T140,math,B-CR-014,Thu,1,0.5
G9-G05,T140,math,B-CR-019,Wed,2,0.5
G9-G05,T140,math,B-CR-004,Sun,3,0.5
G9-G05,T140,math,B-CR-001,Wed,3,0.5
G9-G05,T140,math,B-CR-001,Thu,3,0.5
G9-G05,T149,science,B-LAB-04,Thu,3,0.5
G9-G05,T149,science,B-LAB-04,Sun,6,0.5
G9-G05,T149,science,B-LAB-02,Tue,6,0.5
G9-G05,T149,science,B-LAB-02,Wed,6,0.5
G9-G05,T149,science,B-LAB-02,Thu,6,0.5
G9-G05,T149,science,B-LAB-02,Sun,8,0.5
G9-G05,T149,science,B-LAB-03,Mon,8,0.5
G9-G05,T091,arabic,B-CR-022,Sun,1,0.5
G9-G05,T091,arabic,B-CR-018,Tue,1,0.5
G9-G05,T091,arabic,B-CR-019,Wed,1,0.5
G9-G05,T091,arabic,B-CR-015,Thu,1,0.5
G9-G05,T098,islamic,B-CR-026,Mon,5,0.5
G9-G05,T098,islamic,B-CR-014,Tue,5,0.5
G9-G05,T098,islamic,B-CR-010,Wed,5,0.5
G9-G05,T098,islamic,B-CR-008,Thu,5,0.5
G9-G05,T147,english,B-CR-019,Sun,2,0.5
G9-G05,T147,english,B-CR-022,Mon,2,0.5
G9-G05,T147,english,B-CR-019,Tue,2,0.5
G9-G05,T147,english,B-CR-020,Wed,2,0.5
G9-G05,T147,english,B-CR-015,Thu,2,0.5
G9-G05,T147,english,B-CR-009,Sun,7,0.5
G9-G05,T147,english,B-CR-010,Mon,7,0.5
G9-G05,T147,english,B-CR-011,Tue,7,0.5
G9-G05,T147,english,B-CR-010,Wed,7,0.5
G9-G05,T111,history,B-CR-027,Mon,5,0.5
G9-G05,T111,history,B-CR-015,Tue,5,0.5
G9-G05,T116,geography,B-CR-037,Sun,5,0.5
