class_id,teacher_id,subject,room_id,day,slot,confidence
G1-B02,T057,english,A-CR-001,Mon,2,0.6
G1-B02,T057,english,A-CR-001,Tue,2,0.6
G1-B02,T057,english,A-CR-001,Wed,2,0.6
G1-B02,T009,french,A-CR-001,Sun,1,0.6
G1-B02,T025,computer,A-LAB-01,Sun,1,0.6
G1-B02,T035,music,A-CR-001,Sun,1,0.6
G1-B02,T051,social,A-CR-001,Sun,1,0.6
G1-B03,T071,math,A-CR-001,Sun,1,0.6
G1-B03,T071,math,A-CR-001,Mon,1,0.6
G1-B03,T071,math,A-CR-001,Tue,1,0.6
G1-B03,T071,math,A-CR-001,Wed,1,0.6
G1-B03,T071,math,A-CR-001,Thu,1,0.6
G1-B03,T071,math,A-CR-001,Sun,2,0.6
G1-B03,T071,math,A-CR-001,Mon,2,0.6
G1-B03,T071,math,A-CR-001,Tue,2,0.6
G1-B03,T071,math,A-CR-001,Wed,2,0.6
G1-B03,T059,science,A-LAB-01,Sun,1,0.6
G1-B03,T059,science,A-LAB-01,Mon,1,0.6
G1-B03,T059,science,A-LAB-01,Tue,1,0.6
G1-B03,T059,science,A-LAB-01,Wed,1,0.6
G1-B03,T059,science,A-LAB-01,Thu,1,0.6
G1-B03,T075,arabic,A-CR-001,Sun,1,0.6
G1-B03,T075,arabic,A-CR-001,Mon,1,0.6
G1-B03,T075,arabic,A-CR-001,Tue,1,0.6
G1-B03,T075,arabic,A-CR-001,Wed,1,0.6
G1-B03,T075,arabic,A-CR-001,Thu,1,0.6
G1-B03,T084,islamic,A-CR-001,Sun,1,0.6
G1-B03,T084,islamic,A-CR-001,Mon,1,0.6
G1-B03,T084,islamic,A-CR-001,Tue,1,0.6
G1-B03,T084,islamic,A-CR-001,Wed,1,0.6
G1-B03,T084,islamic,A-CR-001,Thu,1,0.6
G1-B03,T084,islamic,A-CR-001,Sun,2,0.6
G1-B03,T015,pe,A-PG-01,Sun,1,0.6
G1-B03,T027,art,A-CR-001,Sun,1,0.6
G1-B03,T001,library,A-LIB-01,Sun,1,0.6
G1-B03,T076,english,A-CR-001,Sun,1,0.6
G1-B03,T076,english,A-CR-001,Mon,1,0.6
G1-B03,T076,english,A-CR-001,Tue,1,0.6
G1-B03,T076,english,A-CR-001,Wed,1,0.6
G1-B03,T076,english,A-CR-001,Thu,1,0.6
G1-B03,T076,english,A-CR-001,Sun,2,0.6
G1-B03,T076,english,A-CR-001,Mon,2,0.6
G1-B03,T076,english,A-CR-001,Tue,2,0.6
G1-B03,T076,english,A-CR-001,Wed,2,0.6
G1-B03,T011,french,A-CR-001,Sun,1,0.6
G1-B03,T029,computer,A-LAB-01,Sun,1,0.6
G1-B03,T037,music,A-CR-001,Sun,1,0.6
G1-B03,T064,social,A-CR-001,Sun,1,0.6
G1-B04,T080,math,A-CR-001,Sun,1,0.6
G1-B04,T080,math,A-CR-001,Mon,1,0.6
G1-B04,T080,math,A-CR-001,Tue,1,0.6
G1-B04,T080,math,A-CR-001,Wed,1,0.6
G1-B04,T080,math,A-CR-001,Thu,1,0.6
G1-B04,T080,math,A-CR-001,Sun,2,0.6
G1-B04,T080,math,A-CR-001,Mon,2,0.6
G1-B04,T080,math,A-CR-001,Tue,2,0.6
G1-B04,T080,math,A-CR-001,Wed,2,0.6
G1-B04,T066,science,A-LAB-01,Sun,1,0.6
G1-B04,T066,science,A-LAB-01,Mon,1,0.6
G1-B04,T066,science,A-LAB-01,Tue,1,0.6
G1-B04,T066,science,A-LAB-01,Wed,1,0.6
G1-B04,T066,science,A-LAB-01,Thu,1,0.6
G1-B04,T085,arabic,A-CR-001,Sun,1,0.6
G1-B04,T085,arabic,A-CR-001,Mon,1,0.6
G1-B04,T085,arabic,A-CR-001,Tue,1,0.6
G1-B04,T085,arabic,A-CR-001,Wed,1,0.6
G1-B04,T085,arabic,A-CR-001,Thu,1,0.6
G1-B04,T088,islamic,A-CR-001,Sun,1,0.6
G1-B04,T088,islamic,A-CR-001,Mon,1,0.6
G1-B04,T088,islamic,A-CR-001,Tue,1,0.6
G1-B04,T088,islamic,A-CR-001,Wed,1,0.6
G1-B04,T088,islamic,A-CR-001,Thu,1,0.6
G1-B04,T088,islamic,A-CR-001,Sun,2,0.6
G1-B04,T017,pe,A-PG-01,Sun,1,0.6
G1-B04,T019,art,A-CR-001,Sun,1,0.6
G1-B04,T003,library,A-LIB-01,Sun,1,0.6
G1-B04,T081,english,A-CR-001,Sun,1,0.6
G1-B04,T081,english,A-CR-001,Mon,1,0.6
G1-B04,T081,english,A-CR-001,Tue,1,0.6
G1-B04,T081,english,A-CR-001,Wed,1,0.6
G1-B04,T081,english,A-CR-001,Thu,1,0.6
G1-B04,T081,english,A-CR-001,Sun,2,0.6
G1-B04,T081,english,A-CR-001,Mon,2,0.6
G1-B04,T081,english,A-CR-001,Tue,2,0.6
G1-B04,T081,english,A-CR-001,Wed,2,0.6
G1-B04,T007,french,A-CR-001,Sun,1,0.6
G1-B04,T021,computer,A-LAB-01,Sun,1,0.6
G1-B04,T033,music,A-CR-001,Sun,1,0.6
G1-B04,T082,social,A-CR-001,Sun,1,0.6
G1-B05,T101,math,A-CR-001,Sun,1,0.6
G1-B05,T101,math,A-CR-001,Mon,1,0.6
G1-B05,T101,math,A-CR-001,Tue,1,0.6
G1-B05,T101,math,A-CR-001,Wed,1,0.6
G1-B05,T101,math,A-CR-001,Thu,1,0.6
G1-B05,T101,math,A-CR-001,Sun,2,0.6
G1-B05,T101,math,A-CR-001,Mon,2,0.6
G1-B05,T101,math,A-CR-001,Tue,2,0.6
G1-B05,T101,math,A-CR-001,Wed,2,0.6
G1-B05,T077,science,A-LAB-01,Sun,1,0.6
G1-B05,T077,science,A-LAB-01,Mon,1,0.6
G1-B05,T077,science,A-LAB-01,Tue,1,0.6
G1-B05,T077,science,A-LAB-01,Wed,1,0.6
G1-B05,T077,science,A-LAB-01,Thu,1,0.6
G1-B05,T129,arabic,A-CR-001,Sun,1,0.6
G1-B05,T129,arabic,A-CR-001,Mon,1,0.6
G1-B05,T129,arabic,A-CR-001,Tue,1,0.6
G1-B05,T129,arabic,A-CR-001,Wed,1,0.6
G1-B05,T129,arabic,A-CR-001,Thu,1,0.6
G1-B05,T126,islamic,A-CR-001,Sun,1,0.6
G1-B05,T126,islamic,A-CR-001,Mon,1,0.6
G1-B05,T126,islamic,A-CR-001,Tue,1,0.6
G1-B05,T126,islamic,A-CR-001,Wed,1,0.6
G1-B05,T126,islamic,A-CR-001,Thu,1,0.6
G1-B05,T126,islamic,A-CR-001,Sun,2,0.6
G1-B05,T005,pe,A-PG-01,Sun,1,0.6
G1-B05,T023,art,A-CR-001,Sun,1,0.6
G1-B05,T013,library,A-LIB-01,Sun,1,0.6
G1-B05,T096,english,A-CR-001,Sun,1,0.6
G1-B05,T096,english,A-CR-001,Mon,1,0.6
G1-B05,T096,english,A-CR-001,Tue,1,0.6
G1-B05,T096,english,A-CR-001,Wed,1,0.6
G1-B05,T096,english,A-CR-001,Thu,1,0.6
G1-B05,T096,english,A-CR-001,Sun,2,0.6
G1-B05,T096,english,A-CR-001,Mon,2,0.6
G1-B05,T096,english,A-CR-001,Tue,2,0.6
G1-B05,T096,english,A-CR-001,Wed,2,0.6
G1-B05,T009,french,A-CR-001,Sun,1,0.6
G1-B05,T025,computer,A-LAB-01,Sun,1,0.6
G1-B05,T035,music,A-CR-001,Sun,1,0.6
G1-B05,T083,social,A-CR-001,Sun,1,0.6
G1-B06,T103,math,A-CR-001,Sun,1,0.6
G1-B06,T103,math,A-CR-001,Mon,1,0.6
G1-B06,T103,math,A-CR-001,Tue,1,0.6
G1-B06,T103,math,A-CR-001,Wed,1,0.6
G1-B06,T103,math,A-CR-001,Thu,1,0.6
G1-B06,T103,math,A-CR-001,Sun,2,0.6
G1-B06,T103,math,A-CR-001,Mon,2,0.6
G1-B06,T103,math,A-CR-001,Tue,2,0.6
G1-B06,T103,math,A-CR-001,Wed,2,0.6
G1-B06,T106,science,A-LAB-01,Sun,1,0.6
G1-B06,T106,science,A-LAB-01,Mon,1,0.6
G1-B06,T106,science,A-LAB-01,Tue,1,0.6
G1-B06,T106,science,A-LAB-01,Wed,1,0.6
G1-B06,T106,science,A-LAB-01,Thu,1,0.6
G1-B06,T146,arabic,A-CR-001,Sun,1,0.6
G1-B06,T146,arabic,A-CR-001,Mon,1,0.6
G1-B06,T146,arabic,A-CR-001,Tue,1,0.6
G1-B06,T146,arabic,A-CR-001,Wed,1,0.6
G1-B06,T146,arabic,A-CR-001,Thu,1,0.6
G1-B06,T158,islamic,A-CR-001,Sun,1,0.6
G1-B06,T158,islamic,A-CR-001,Mon,1,0.6
G1-B06,T158,islamic,A-CR-001,Tue,1,0.6
G1-B06,T158,islamic,A-CR-001,Wed,1,0.6
G1-B06,T158,islamic,A-CR-001,Thu,1,0.6
G1-B06,T158,islamic,A-CR-001,Sun,2,0.6
G1-B06,T015,pe,A-PG-01,Sun,1,0.6
G1-B06,T027,art,A-CR-001,Sun,1,0.6
G1-B06,T001,library,A-LIB-01,Sun,1,0.6
G1-B06,T099,english,A-CR-001,Sun,1,0.6
G1-B06,T099,english,A-CR-001,Mon,1,0.6
G1-B06,T099,english,A-CR-001,Tue,1,0.6
G1-B06,T099,english,A-CR-001,Wed,1,0.6
G1-B06,T099,english,A-CR-001,Thu,1,0.6
G1-B06,T099,english,A-CR-001,Sun,2,0.6
G1-B06,T099,english,A-CR-001,Mon,2,0.6
G1-B06,T099,english,A-CR-001,Tue,2,0.6
G1-B06,T099,english,A-CR-001,Wed,2,0.6
G1-B06,T011,french,A-CR-001,Sun,1,0.6
G1-B06,T029,computer,A-LAB-01,Sun,1,0.6
G1-B06,T037,music,A-CR-001,Sun,1,0.6
G1-B06,T095,social,A-CR-001,Sun,1,0.6
G1-B07,T132,math,A-CR-001,Sun,1,0.6
G1-B07,T132,math,A-CR-001,Mon,1,0.6
G1-B07,T132,math,A-CR-001,Tue,1,0.6
G1-B07,T132,math,A-CR-001,Wed,1,0.6
G1-B07,T132,math,A-CR-001,Thu,1,0.6
G1-B07,T132,math,A-CR-001,Sun,2,0.6
G1-B07,T132,math,A-CR-001,Mon,2,0.6
G1-B07,T132,math,A-CR-001,Tue,2,0.6
G1-B07,T132,math,A-CR-001,Wed,2,0.6
G1-B07,T131,science,A-LAB-01,Sun,1,0.6
G1-B07,T131,science,A-LAB-01,Mon,1,0.6
G1-B07,T131,science,A-LAB-01,Tue,1,0.6
G1-B07,T131,science,A-LAB-01,Wed,1,0.6
G1-B07,T131,science,A-LAB-01,Thu,1,0.6
G1-B07,T159,arabic,A-CR-001,Sun,1,0.6
G1-B07,T159,arabic,A-CR-001,Mon,1,0.6
G1-B07,T159,arabic,A-CR-001,Tue,1,0.6
G1-B07,T159,arabic,A-CR-001,Wed,1,0.6
G1-B07,T159,arabic,A-CR-001,Thu,1,0.6
G1-B07,T172,islamic,A-CR-001,Sun,1,0.6
G1-B07,T172,islamic,A-CR-001,Mon,1,0.6
G1-B07,T172,islamic,A-CR-001,Tue,1,0.6
G1-B07,T172,islamic,A-CR-001,Wed,1,0.6
G1-B07,T172,islamic,A-CR-001,Thu,1,0.6
G1-B07,T172,islamic,A-CR-001,Sun,2,0.6
G1-B07,T017,pe,A-PG-01,Sun,1,0.6
G1-B07,T019,art,A-CR-001,Sun,1,0.6
G1-B07,T003,library,A-LIB-01,Sun,1,0.6
G1-B07,T102,english,A-CR-001,Sun,1,0.6
G1-B07,T102,english,A-CR-001,Mon,1,0.6
G1-B07,T102,english,A-CR-001,Tue,1,0.6
G1-B07,T102,english,A-CR-001,Wed,1,0.6
G1-B07,T102,english,A-CR-001,Thu,1,0.6
G1-B07,T102,english,A-CR-001,Sun,2,0.6
G1-B07,T102,english,A-CR-001,Mon,2,0.6
G1-B07,T102,english,A-CR-001,Tue,2,0.6
G1-B07,T102,english,A-CR-001,Wed,2,0.6
G1-B07,T007,french,A-CR-001,Sun,1,0.6
G1-B07,T021,computer,A-LAB-01,Sun,1,0.6
G1-B07,T033,music,A-CR-001,Sun,1,0.6
G1-B07,T133,social,A-CR-001,Sun,1,0.6
G1-B08,T137,math,A-CR-001,Sun,1,0.6
G1-B08,T137,math,A-CR-001,Mon,1,0.6
G1-B08,T137,math,A-CR-001,Tue,1,0.6
G1-B08,T137,math,A-CR-001,Wed,1,0.6
G1-B08,T137,math,A-CR-001,Thu,1,0.6
G1-B08,T137,math,A-CR-001,Sun,2,0.6
G1-B08,T137,math,A-CR-001,Mon,2,0.6
G1-B08,T137,math,A-CR-001,Tue,2,0.6
G1-B08,T137,math,A-CR-001,Wed,2,0.6
G1-B08,T154,science,A-LAB-01,Sun,1,0.6
G1-B08,T154,science,A-LAB-01,Mon,1,0.6
G1-B08,T154,science,A-LAB-01,Tue,1,0.6
G1-B08,T154,science,A-LAB-01,Wed,1,0.6
G1-B08,T154,science,A-LAB-01,Thu,1,0.6
G1-B08,T189,arabic,A-CR-001,Sun,1,0.6
G1-B08,T189,arabic,A-CR-001,Mon,1,0.6
G1-B08,T189,arabic,A-CR-001,Tue,1,0.6
G1-B08,T189,arabic,A-CR-001,Wed,1,0.6
G1-B08,T189,arabic,A-CR-001,Thu,1,0.6
G1-B08,T198,islamic,A-CR-001,Sun,1,0.6
G1-B08,T198,islamic,A-CR-001,Mon,1,0.6
G1-B08,T198,islamic,A-CR-001,Tue,1,0.6
G1-B08,T198,islamic,A-CR-001,Wed,1,0.6
G1-B08,T198,islamic,A-CR-001,Thu,1,0.6
G1-B08,T198,islamic,A-CR-001,Sun,2,0.6
G1-B08,T005,pe,A-PG-01,Sun,1,0.6
G1-B08,T023,art,A-CR-001,Sun,1,0.6
G1-B08,T013,library,A-LIB-01,Sun,1,0.6
G1-B08,T110,english,A-CR-001,Sun,1,0.6
G1-B08,T110,english,A-CR-001,Mon,1,0.6
G1-B08,T110,english,A-CR-001,Tue,1,0.6
G1-B08,T110,english,A-CR-001,Wed,1,0.6
G1-B08,T110,english,A-CR-001,Thu,1,0.6
G1-B08,T110,english,A-CR-001,Sun,2,0.6
G1-B08,T110,english,A-CR-001,Mon,2,0.6
G1-B08,T110,english,A-CR-001,Tue,2,0.6
G1-B08,T110,english,A-CR-001,Wed,2,0.6
G1-B08,T009,french,A-CR-001,Sun,1,0.6
G1-B08,T025,computer,A-LAB-01,Sun,1,0.6
G1-B08,T035,music,A-CR-001,Sun,1,0.6
G1-B08,T207,social,A-CR-001,Sun,1,0.6
G1-B09,T155,math,A-CR-001,Sun,1,0.6
G1-B09,T155,math,A-CR-001,Mon,1,0.6
G1-B09,T155,math,A-CR-001,Tue,1,0.6
G1-B09,T155,math,A-CR-001,Wed,1,0.6
G1-B09,T155,math,A-CR-001,Thu,1,0.6
G1-B09,T155,math,A-CR-001,Sun,2,0.6
G1-B09,T155,math,A-CR-001,Mon,2,0.6
G1-B09,T155,math,A-CR-001,Tue,2,0.6
G1-B09,T155,math,A-CR-001,Wed,2,0.6
G1-B09,T183,science,A-LAB-01,Sun,1,0.6
G1-B09,T183,science,A-LAB-01,Mon,1,0.6
G1-B09,T183,science,A-LAB-01,Tue,1,0.6
G1-B09,T183,science,A-LAB-01,Wed,1,0.6
G1-B09,T183,science,A-LAB-01,Thu,1,0.6
G1-B09,T228,arabic,A-CR-001,Sun,1,0.6
G1-B09,T228,arabic,A-CR-001,Mon,1,0.6
G1-B09,T228,arabic,A-CR-001,Tue,1,0.6
G1-B09,T228,arabic,A-CR-001,Wed,1,0.6
G1-B09,T228,arabic,A-CR-001,Thu,1,0.6
G1-B09,T233,islamic,A-CR-001,Sun,1,0.6
G1-B09,T233,islamic,A-CR-001,Mon,1,0.6
G1-B09,T233,islamic,A-CR-001,Tue,1,0.6
G1-B09,T233,islamic,A-CR-001,Wed,1,0.6
G1-B09,T233,islamic,A-CR-001,Thu,1,0.6
G1-B09,T233,islamic,A-CR-001,Sun,2,0.6
G1-B09,T015,pe,A-PG-01,Sun,1,0.6
G1-B09,T027,art,A-CR-001,Sun,1,0.6
G1-B09,T001,library,A-LIB-01,Sun,1,0.6
G1-B09,T148,english,A-CR-001,Sun,1,0.6
G1-B09,T148,english,A-CR-001,Mon,1,0.6
G1-B09,T148,english,A-CR-001,Tue,1,0.6
G1-B09,T148,english,A-CR-001,Wed,1,0.6
G1-B09,T148,english,A-CR-001,Thu,1,0.6
G1-B09,T148,english,A-CR-001,Sun,2,0.6
G1-B09,T148,english,A-CR-001,Mon,2,0.6
G1-B09,T148,english,A-CR-001,Tue,2,0.6
G1-B09,T148,english,A-CR-001,Wed,2,0.6
G1-B09,T011,french,A-CR-001,Sun,1,0.6
G1-B09,T029,computer,A-LAB-01,Sun,1,0.6
G1-B09,T037,music,A-CR-001,Sun,1,0.6
G1-B09,T211,social,A-CR-001,Sun,1,0.6
G1-B10,T194,math,A-CR-001,Sun,1,0.6
G1-B10,T194,math,A-CR-001,Mon,1,0.6
G1-B10,T194,math,A-CR-001,Tue,1,0.6
G1-B10,T194,math,A-CR-001,Wed,1,0.6
G1-B10,T194,math,A-CR-001,Thu,1,0.6
G1-B10,T194,math,A-CR-001,Sun,2,0.6
G1-B10,T194,math,A-CR-001,Mon,2,0.6
G1-B10,T194,math,A-CR-001,Tue,2,0.6
G1-B10,T194,math,A-CR-001,Wed,2,0.6
G1-B10,T218,science,A-LAB-01,Sun,1,0.6
G1-B10,T218,science,A-LAB-01,Mon,1,0.6
G1-B10,T218,science,A-LAB-01,Tue,1,0.6
G1-B10,T218,science,A-LAB-01,Wed,1,0.6
G1-B10,T218,science,A-LAB-01,Thu,1,0.6
G1-B10,T241,arabic,A-CR-001,Sun,1,0.6
G1-B10,T241,arabic,A-CR-001,Mon,1,0.6
G1-B10,T241,arabic,A-CR-001,Tue,1,0.6
G1-B10,T241,arabic,A-CR-001,Wed,1,0.6
G1-B10,T241,arabic,A-CR-001,Thu,1,0.6
G1-B10,T248,islamic,A-CR-001,Sun,1,0.6
G1-B10,T248,islamic,A-CR-001,Mon,1,0.6
G1-B10,T248,islamic,A-CR-001,Tue,1,0.6
G1-B10,T248,islamic,A-CR-001,Wed,1,0.6
G1-B10,T248,islamic,A-CR-001,Thu,1,0.6
G1-B10,T248,islamic,A-CR-001,Sun,2,0.6
G1-B10,T017,pe,A-PG-01,Sun,1,0.6
G1-B10,T019,art,A-CR-001,Sun,1,0.6
G1-B10,T003,library,A-LIB-01,Sun,1,0.6
G1-B10,T150,english,A-CR-001,Sun,1,0.6
G1-B10,T150,english,A-CR-001,Mon,1,0.6
G1-B10,T150,english,A-CR-001,Tue,1,0.6
G1-B10,T150,english,A-CR-001,Wed,1,0.6
G1-B10,T150,english,A-CR-001,Thu,1,0.6
G1-B10,T150,english,A-CR-001,Sun,2,0.6
G1-B10,T150,english,A-CR-001,Mon,2,0.6
G1-B10,T150,english,A-CR-001,Tue,2,0.6
G1-B10,T150,english,A-CR-001,Wed,2,0.6
G1-B10,T007,french,A-CR-001,Sun,1,0.6
G1-B10,T021,computer,A-LAB-01,Sun,1,0.6
G1-B10,T033,music,A-CR-001,Sun,1,0.6
G1-B10,T224,social,A-CR-001,Sun,1,0.6
G1-G01,T049,math,A-CR-001,Sun,1,0.6
G1-G01,T049,math,A-CR-001,Mon,1,0.6
G1-G01,T049,math,A-CR-001,Tue,1,0.6
G1-G01,T049,math,A-CR-001,Wed,1,0.6
G1-G01,T049,math,A-CR-001,Thu,1,0.6
G1-G01,T049,math,A-CR-001,Sun,2,0.6
G1-G01,T049,math,A-CR-001,Mon,2,0.6
G1-G01,T049,math,A-CR-001,Tue,2,0.6
G1-G01,T049,math,A-CR-001,Wed,2,0.6
G1-G01,T072,science,A-LAB-01,Sun,1,0.6
G1-G01,T072,science,A-LAB-01,Mon,1,0.6
G1-G01,T072,science,A-LAB-01,Tue,1,0.6
G1-G01,T072,science,A-LAB-01,Wed,1,0.6
G1-G01,T072,science,A-LAB-01,Thu,1,0.6
G1-G01,T040,arabic,A-CR-001,Sun,1,0.6
G1-G01,T040,arabic,A-CR-001,Mon,1,0.6
G1-G01,T040,arabic,A-CR-001,Tue,1,0.6
G1-G01,T040,arabic,A-CR-001,Wed,1,0.6
G1-G01,T040,arabic,A-CR-001,Thu,1,0.6
G1-G01,T047,islamic,A-CR-001,Sun,1,0.6
G1-G01,T047,islamic,A-CR-001,Mon,1,0.6
G1-G01,T047,islamic,A-CR-001,Tue,1,0.6
G1-G01,T047,islamic,A-CR-001,Wed,1,0.6
G1-G01,T047,islamic,A-CR-001,Thu,1,0.6
G1-G01,T047,islamic,A-CR-001,Sun,2,0.6
G1-G01,T002,pe,A-PG-01,Sun,1,0.6
G1-G01,T020,art,A-CR-001,Sun,1,0.6
G1-G01,T004,library,A-LIB-01,Sun,1,0.6
G1-G01,T044,english,A-CR-001,Sun,1,0.6
G1-G01,T044,english,A-CR-001,Mon,1,0.6
G1-G01,T044,english,A-CR-001,Tue,1,0.6
G1-G01,T044,english,A-CR-001,Wed,1,0.6
G1-G01,T044,english,A-CR-001,Thu,1,0.6
G1-G01,T044,english,A-CR-001,Sun,2,0.6
G1-G01,T044,english,A-CR-001,Mon,2,0.6
G1-G01,T044,english,A-CR-001,Tue,2,0.6
G1-G01,T044,english,A-CR-001,Wed,2,0.6
G1-G01,T008,french,A-CR-001,Sun,1,0.6
G1-G01,T024,computer,A-LAB-01,Sun,1,0.6
G1-G01,T034,music,A-CR-001,Sun,1,0.6
G1-G01,T048,social,A-CR-001,Sun,1,0.6
G1-G02,T094,math,A-CR-001,Sun,1,0.6
G1-G02,T094,math,A-CR-001,Mon,1,0.6
G1-G02,T094,math,A-CR-001,Tue,1,0.6
G1-G02,T094,math,A-CR-001,Wed,1,0.6
G1-G02,T094,math,A-CR-001,Thu,1,0.6
G1-G02,T094,math,A-CR-001,Sun,2,0.6
G1-G02,T094,math,A-CR-001,Mon,2,0.6
G1-G02,T094,math,A-CR-001,Tue,2,0.6
G1-G02,T094,math,A-CR-001,Wed,2,0.6
G1-G02,T074,science,A-LAB-01,Sun,1,0.6
G1-G02,T074,science,A-LAB-01,Mon,1,0.6
G1-G02,T074,science,A-LAB-01,Tue,1,0.6
G1-G02,T074,science,A-LAB-01,Wed,1,0.6
G1-G02,T074,science,A-LAB-01,Thu,1,0.6
G1-G02,T063,arabic,A-CR-001,Sun,1,0.6
G1-G02,T063,arabic,A-CR-001,Mon,1,0.6
G1-G02,T063,arabic,A-CR-001,Tue,1,0.6
G1-G02,T063,arabic,A-CR-001,Wed,1,0.6
G1-G02,T063,arabic,A-CR-001,Thu,1,0.6
G1-G02,T053,islamic,A-CR-001,Sun,1,0.6
G1-G02,T053,islamic,A-CR-001,Mon,1,0.6
G1-G02,T053,islamic,A-CR-001,Tue,1,0.6
G1-G02,T053,islamic,A-CR-001,Wed,1,0.6
G1-G02,T053,islamic,A-CR-001,Thu,1,0.6
G1-G02,T053,islamic,A-CR-001,Sun,2,0.6
G1-G02,T014,pe,A-PG-01,Sun,1,0.6
G1-G02,T022,art,A-CR-001,Sun,1,0.6
G1-G02,T006,library,A-LIB-01,Sun,1,0.6
G1-G02,T062,english,A-CR-001,Sun,1,0.6
G1-G02,T062,english,A-CR-001,Mon,1,0.6
G1-G02,T062,english,A-CR-001,Tue,1,0.6
G1-G02,T062,english,A-CR-001,Wed,1,0.6
G1-G02,T062,english,A-CR-001,Thu,1,0.6
